date,confirm,nowConfirm,suspect,dead,heal,noInfect
01/13,41,0,0,1,0,0
01/14,41,0,0,1,0,0
01/15,41,0,0,2,5,0
01/16,45,0,0,2,8,0
01/17,62,0,0,2,12,0
01/18,198,0,0,3,17,0
01/19,275,0,0,4,18,0
01/20,291,291,54,6,25,0
01/21,440,431,37,9,25,0
01/22,574,557,393,17,25,0
01/23,835,776,1072,25,34,0
01/24,1297,1218,1965,41,38,0
01/25,1985,1880,2684,56,49,0
01/26,2761,2630,5794,80,51,0
01/27,4535,4369,6973,106,60,0
01/28,5997,5762,9239,132,103,0
01/29,7736,7442,12167,170,124,0
01/30,9720,9336,15238,213,171,0
01/31,11821,11319,17988,259,243,0
02/01,14411,13779,19544,304,328,0
02/02,17238,16402,21558,361,475,0
02/03,20471,19414,23214,425,632,0
02/04,24363,22980,23260,491,892,0
02/05,28060,26343,24702,564,1153,0
02/06,31211,29032,26359,637,1542,0
02/07,34598,31823,27657,723,2052,0
02/08,37251,33788,28942,812,2651,0
02/09,40235,36043,23589,909,3283,0
02/10,42708,37693,21675,1017,3998,0
02/11,44730,38874,16067,1114,4742,0
02/12,59882,52599,13435,1368,5915,0
02/13,63932,55823,10109,1381,6728,0
02/14,66576,56951,8969,1524,8101,0
02/15,68584,57493,8228,1666,9425,0
02/16,70635,58010,7264,1772,10853,0
02/17,72528,58097,6242,1870,12561,0
02/18,74279,57886,5248,2006,14387,0
02/19,75002,56386,4922,2121,16157,0
02/20,75993,55051,5206,2239,18266,0
02/21,76392,53371,5365,2348,20673,0
02/22,77041,51689,4148,2445,22907,0
02/23,77262,49910,3434,2595,24757,0
02/24,77779,47760,2824,2666,27353,0
02/25,78190,45697,2491,2718,29775,0
02/26,78630,43352,2358,2747,32531,0
02/27,78959,40011,2308,2791,36157,0
02/28,79389,37502,1418,2838,39049,0
02/29,79968,35420,851,2873,41675,0
03/01,80174,32741,715,2915,44518,0
03/02,80302,30096,587,2946,47260,0
03/03,80422,27524,520,2984,49914,0
03/04,80565,25441,522,3015,52109,0
03/05,80710,23872,482,3045,53793,0
03/06,80813,22263,502,3073,55477,0
03/07,80859,20616,458,3100,57143,0
03/08,80904,19097,421,3123,58684,0
03/09,80924,17802,349,3140,59982,0
03/10,80955,16226,285,3162,61567,0
03/11,80992,14920,253,3173,62887,0
03/12,81003,13607,147,3180,64216,0
03/13,81021,12178,115,3194,65649,0
03/14,81048,10822,113,3204,67022,0
03/15,81077,9996,134,3218,67863,0
03/16,81116,9086,128,3231,68799,0
03/17,81151,8184,119,3242,69725,0
03/18,81235,7438,105,3250,70547,0
03/19,81300,6763,104,3253,71284,0
03/20,81416,6013,106,3261,71876,0
03/21,81498,5849,118,3267,72382,0
03/22,81600,5483,136,3276,72841,0
03/23,81747,5165,132,3283,73299,0
03/24,81846,4768,134,3287,73791,0
03/25,81960,4471,159,3293,74196,0
03/26,82078,4043,189,3298,74737,0
03/27,82213,3790,184,3301,75122,0
03/28,82341,3435,174,3306,75600,0
03/29,82447,3199,168,3311,75937,0
03/30,82545,3006,183,3314,76225,0
03/31,82631,2895,172,3321,76415,1367
04/01,82724,2787,153,3327,76610,1075
04/02,82802,2686,135,3331,76785,1027
04/03,82861,2556,114,3335,76984,1030
04/04,82930,2382,107,3338,77210,1024
04/05,83005,2317,88,3340,77348,1047
04/06,83071,2281,89,3340,77450,1033
04/07,83157,2229,83,3342,77586,1095
04/08,83249,2194,73,3344,77711,1104
04/09,83305,2122,53,3345,77838,1097
04/10,83369,2085,44,3349,77935,1092
04/11,83482,2113,82,3349,78020,1086
04/12,83602,2106,72,3351,78145,1064
04/13,83696,2083,72,3351,78262,1005
04/14,83745,2004,73,3352,78389,1023
04/15,83797,1941,63,3352,78504,1032
04/16,83824,1872,62,3352,78600,1038
04/17,84180,1794,63,4642,77744,1017
04/18,84201,1734,48,4642,77825,999
04/19,84237,1700,43,4642,77895,990
04/20,84250,1630,37,4642,77978,992
04/21,84287,1603,35,4642,78042,991
04/22,84302,1513,20,4642,78147,984
04/23,84311,1433,20,4642,78236,979
04/24,84324,1320,17,4642,78362,983
04/25,84338,1246,12,4642,78450,1000
