date,confirmAdd
01/21,60
01/22,105
01/23,62
01/24,70
01/25,77
01/26,46
01/27,80
01/28,892
01/29,315
01/30,356
01/31,378
02/01,576
02/02,894
02/03,1033
02/04,1242
02/05,1967
02/06,1766
02/07,1501
02/08,1985
02/09,1379
02/10,1921
02/11,1552
02/12,1104
02/13,13436
02/14,3910
02/15,1923
02/16,1548
02/17,1690
02/18,1600
02/19,1660
02/20,615
02/21,319
02/22,314
02/23,541
02/24,348
02/25,464
02/26,370
02/27,383
02/28,313
02/29,420
03/01,565
03/02,111
03/03,114
03/04,131
03/05,126
03/06,74
03/07,74
03/08,41
03/09,36
03/10,17
03/11,13
03/12,8
03/13,5
03/14,4
03/15,4
03/16,4
03/17,1
03/18,1
03/19,0
03/20,0
03/21,0
03/22,0
03/23,0
03/24,1
03/25,0
03/26,0
03/27,0
03/28,0
03/29,0
03/30,0
03/31,0
04/01,1
04/02,0
04/03,0
04/04,1
04/05,0
04/06,0
04/07,0
04/08,0
04/09,0
04/10,0
04/11,0
04/12,0
04/13,0
04/14,0
04/15,0
04/16,0
04/17,0
04/18,0
04/19,0
04/20,0
04/21,0
04/22,0
04/23,0
04/24,0
04/25,0
04/26,0
